source,target,value
"MOBILIARIA MONESA, S.A.","GUINART ROYO, ALBERT",1
"MOBILIARIA MONESA, S.A.","HUGUET GALI, ORIOL",1
"MOBILIARIA MONESA, S.A.","INVERSIONES GUINART 2001, S.L.",1
"MOBILIARIA MONESA, S.A.","RADE 2000, S.L.",1
"MOBILIARIA MONESA, S.A.","ROSE RED, S.L.",1
"MOBILIARIA MONESA, S.A.","VIOLA TARRAGONA, ENRIQUE",1
"TESTA INMUEBLES EN RENTA, S.A.","CORSINI FREESE, MIGUEL",2
"TESTA INMUEBLES EN RENTA, S.A.","CROISSIER BATISTA, LUIS CARLOS",3
"TESTA INMUEBLES EN RENTA, S.A.","DEL CORRO GARCIA-LOMAS, PEDRO",1
"TESTA INMUEBLES EN RENTA, S.A.","LOUREDA LOPEZ, DANIEL",1
"TESTA INMUEBLES EN RENTA, S.A.","LOUREDA MANTIÑAN, JOSE MANUEL",2
"TESTA INMUEBLES EN RENTA, S.A.","MANRIQUE CECILIA, MANUEL",2
"TESTA INMUEBLES EN RENTA, S.A.","RODRIGUEZ-AVIAL LLARDENT, FERNANDO",1
"TESTA INMUEBLES EN RENTA, S.A.","RODRIGUEZ-PONGA SALAMANCA, ESTANISLAO",1
"UNION CATALANA DE VALORES, S.A.","ALVAREZ GOMIS, ALFREDO",1
"UNION CATALANA DE VALORES, S.A.","CALSINA GOMIS, JOAQUIN",1
"UNION CATALANA DE VALORES, S.A.","CASCANTE DAVILA, LUIS MARIA",1
"UNION CATALANA DE VALORES, S.A.","GIL PEREZ, ANTONIO",1
"UNION CATALANA DE VALORES, S.A.","GOMIS PINTO, ENRIQUE",1
"UNION CATALANA DE VALORES, S.A.","PINTO PRAT, MARIA LORETO",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","AURELL FERRER, JOSE MARIA",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA, S.A.",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","CASTELLO VILA, RAMON",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","DURAN BELLIDO, JOSE Mª",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","EUROFONDO, S.A.",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","FIDUCIAIRE RENE GILLIERON",1
"INVERPYME, S.C.R. DE REGIMEN COMUN, S.A.","PLUVISILVA IBERICA, S.L.",1
"CAIXABANK, S.A.","AURIN PARDO, EVA",1
"CAIXABANK, S.A.","BASSONS BONCOMPTE, MARIA TERESA",1
"CAIXABANK, S.A.","CAJA DE AHORROS Y MONTE DE PIEDAD DE NAVARRA",1
"CAIXABANK, S.A.","ESTAPE TOUS, ISABEL",1
"CAIXABANK, S.A.","FAINE CASAS, ISIDRO",4
"CAIXABANK, S.A.","GABARRO SERRA, SALVADOR",2
"CAIXABANK, S.A.","GALLARDO TORREDEDIA, SUSANA",1
"CAIXABANK, S.A.","GODO MUNTAÑOLA, JAVIER",1
"CAIXABANK, S.A.","IBARZ ALEGRIA, JAVIER",1
"CAIXABANK, S.A.","LI , DAVID K.P.",1
"CAIXABANK, S.A.","LLOBET MARIA, MARIA DOLORES",1
